Collaborate,coef,t-value
FRO,-0.06269613793090087,-1.0102853000806291
GAB,0.25511504064267915,1.5565797444282534
GBR,17.728874447468417,5.134077531120846
GEO,1.5845646148377275,1.6536039558136817
GGY,-0.018699604055036675,-0.9221551270910402
GHA,0.6962403751740341,2.061726864210932
GIB,0.04555783909528433,0.20144692486140836
GIN,0.07203780874543197,0.8551219396676091
GLP,0.0017394650774113637,0.11719154670060031
GMB,-0.18349334188615013,-0.9696744487860619
GNQ,-0.1623945206236324,-0.6602566004319169
GRC,3.5010786608930213,2.3735440899157014
GRD,0.050360375982317934,0.981063553104573
GRL,0.01726177611123287,0.9842175717265691
GTM,0.40634136435016266,1.4550657446921322
GUF,0.021987938264866443,1.324703120391516
GUM,0.10952645921421111,0.923993515385529
GUY,-0.022919058419988144,-0.23302707776229484
HKG,3.8080716723787535,2.0266920708909995
HND,0.2986296887661044,1.7585096776401916
HRV,2.1917700059834404,1.7993222105194082
HTI,-0.029382790335190312,-0.9709252344792823
IDN,3.8531989739779697,2.6829170238260627
IMN,-0.08141215258052208,-1.8976685446813089
IND,5.677554442515316,2.1170955032501477
IOT,-0.08854900892761834,-1.3740443355658025
IRL,4.6211348991992915,2.940751021304851
IRN,0.9903623247551105,1.7731097250929326
IRQ,0.329021756873281,0.7536681261555283
ISL,2.898850541828033,2.247585083852762
ISR,10.45408785982784,4.580608937510506
ITA,11.031413865290848,4.344737457598892
JAM,0.06938246502487236,0.5714244526171549
JEY,-0.28229533480916585,-2.333358346948096
JOR,1.3411406312938494,1.7252440668684998
JPN,11.22529246944143,5.052751509353765
KEN,0.3975454381258441,0.5848982134664091
KHM,0.15534650301887837,0.6505144119513225
KIR,0.031936091445133256,0.5369787228822469
KNA,-0.0747797063214706,-1.0972374594651582
KOR,6.18585767627174,3.040906435312052
KWT,0.715651552430549,2.023701588230897
LBN,-0.2966149809652427,-0.6483849677440763
LBR,0.01243522028276539,0.24617790557593322
LBY,0.498698208237998,1.1796788617168363
LCA,0.0665576351189077,0.7313691838013526
LKA,0.053904094130614144,0.08326385051230825
LTU,0.6731906568248776,1.1475094171650673
LVA,1.7280560388032797,1.6404978573624802
MAC,-0.11772073299232252,-1.4583933122123696
MAR,1.2572312300977622,1.8803867265732006
MCO,1.1885829995369082,1.2117590481785976
MDG,-0.007056486798952215,-0.01559042428007082
MEX,3.2192128756905785,2.2861613385337383
MHL,-0.02161729304285836,-0.9887152822454849
MLT,0.3139232747506998,0.9260082191620421
MMR,0.14452372974903194,1.3325009344314223
MNE,-0.2949973739907578,-1.492193907296679
MNP,0.15298650903013453,1.0309135899710498
MOZ,-0.06906515176991398,-0.6926911695484267
MRT,0.03810964393326284,0.6491597327293014
MUS,-0.35376207613225813,-1.2349232925317115
MYS,7.802055368649036,3.639328086087629
NAM,-0.6693404800322793,-1.0005148113411617
NCL,-0.14023280495224802,-0.7210808559613272
NFK,0.017934263374228217,0.22427791257815585
NGA,-0.21245132295526512,-0.5454086252343245
NIC,-0.2743436398125793,-1.414164732732158
NLD,14.387462880217136,4.357951490529206
NOR,6.953320741096795,3.9798042982514805
NRU,0.020429389463453365,0.9746674367330304
NZL,5.635555063213102,3.2161360389959324
OMN,0.6672694451278087,1.2854980010565522
PAK,0.2343011580122019,0.3731720475531996
PAN,0.2104270744017377,0.8056456308416816
PER,0.10651656774771422,0.1697459483256885
PHL,4.4009635320909535,3.0440802606517043
PLW,-0.029614572725498823,-0.9884298671905066
PNG,0.07127166105713899,0.9007308840980209
POL,2.1043539932008617,1.6774788672998877
PRI,1.0240681123124145,1.9876742040998927
PRK,-0.1264311771052474,-0.4068467018171883
PRT,3.296675896041857,2.3193832372309693
PYF,-0.15248398454711556,-1.1412210915201946
QAT,0.2483447998259665,0.596231035724742
REU,-0.19412494923478257,-1.455241186699709
ROU,1.2487340977061432,1.2313512933605688
RUS,9.861215412808512,4.320287968496408
SAU,0.17545451618762992,0.19667208902613822
SDN,-0.16824412956721665,-0.3387054362153714
SEN,0.03890767882222489,0.27105228322972125
SGP,8.550176965279869,3.876032152309533
SGS,0.05477489983677979,0.9874548385741732
