Collaborate,coef,t-value
KIR,0.0338853434526928,0.5634706420961374
KNA,-0.07032535998494409,-1.062756249566426
KOR,6.335537635964565,3.0880900874312416
KWT,0.7409778824804873,2.048468082654075
LBN,-0.2588016497258074,-0.5595604076110183
LBR,0.01911278332622411,0.3426009937184959
LBY,0.4986398634827566,1.1783387318301592
LCA,0.06726346862442831,0.7363458630857412
LKA,0.066639188878205,0.10185738767743233
LTU,0.6886928195550576,1.181475315514839
LVA,1.7681172513986576,1.6467292757749266
MAC,-0.10896977071963396,-1.4216947475667618
MAR,1.3342433414900883,1.8596851286756737
MCO,1.2061052443145013,1.2634128643169302
MDG,0.00620170690038844,0.01365553944075997
MEX,3.237455453165369,2.2873412581838934
MHL,-0.022855103558564904,-0.9882355959379938
MLT,0.3621450172737514,1.0647117482790822
MMR,0.1440126613233573,1.2860162193246651
MNE,-0.28921171583990374,-1.4685805874772457
MNP,0.16049240269813672,1.05550921983602
MOZ,-0.06862705069969545,-0.7017513866810281
MRT,0.046210130867711766,0.7887315602994223
MUS,-0.35758600459680534,-1.2460266889184288
MYS,7.9579414545254465,3.684594483008235
NAM,-0.6662649983519957,-0.9998654794741256
NCL,-0.13415863212392293,-0.6964546361414545
NFK,0.011863832839081228,0.15782751497139325
NGA,-0.20787357726529396,-0.5376515416176699
NIC,-0.27737054115221765,-1.4467217278346742
NLD,14.333814032625842,4.375673737195032
NOR,6.953012044053752,3.9942080794572985
NRU,0.019835146353598076,0.9740975349153247
NZL,5.609791849936088,3.2196984421852846
OMN,0.6860644967315823,1.3092513690190413
PAK,0.2564084924861056,0.3986427132920207
PAN,0.1911969128342728,0.730488961562171
PER,0.11720067565193172,0.1852020782856137
PHL,4.441242302930735,3.0470698628838067
PLW,-0.02871580408129449,-0.9881128470376718
PNG,0.07109757768569976,0.8956147668377413
POL,2.1768725859140794,1.716827471146047
PRI,1.0737882891904054,1.977366666032722
PRK,-0.12226502076905837,-0.3842350107817941
PRT,3.3802954144695074,2.368527629727035
PYF,-0.15245152839219112,-1.1286641898092662
QAT,0.258624855715543,0.6553727448297774
REU,-0.18673764995605946,-1.3998287763667725
ROU,1.381149350397252,1.3197102228235988
RUS,9.791472700524135,4.322523468753417
SAU,0.2587470827511258,0.28578021732874054
SDN,-0.1662632741248521,-0.3312890420157341
SEN,0.03980789956647747,0.2764684258217657
SGP,8.649206792768657,3.938457913391885
SGS,0.05644239124855138,0.9873928410752955
SHN,-0.03177738096874009,-1.049421000831179
SLE,-0.470899536937388,-0.840195851539979
SLV,-0.13941114489288167,-0.8344172581005624
SOM,-0.07561254774017945,-0.759384848181834
SUR,0.09953528852234825,1.11194740113448
SVN,2.3412369646807574,1.7944379317845596
SWE,9.727268881171346,4.346727917184302
SXM,-0.12557078914009492,-1.0585905207811896
SYC,0.06970804702192308,0.7479855352423471
SYR,0.7072089200517878,2.1794654230698485
TCA,0.02774635592491851,0.13864476138887016
TGO,0.08952881856162716,0.9959731832088368
THA,5.024184923374674,2.783672404648423
TKL,-0.01122234597350951,-1.0640475390937556
TLS,-0.02980274893528349,-0.9874580730467788
TON,-0.048350367455143525,-0.8139673900227732
TTO,1.1335125268344433,1.8580250535588696
TUN,0.5493766099696121,1.000003679981982
TUR,1.3854687745420178,1.2104586112562623
TUV,-0.08225985516168843,-1.2849347843125074
TWN,3.879890165332169,2.5669368401215036
TZA,0.15446034167308503,1.2990464772847945
UKR,3.397968689753357,2.2709632532633646
URY,2.172587051167079,2.3674018687107528
USA,32.21226076075584,8.521269409050582
VCT,-0.10413476438107531,-1.218156224700088
VEN,1.7919241561514587,1.8581785578871126
VGB,1.0938256246605267,2.6578868231790294
VIR,0.20207758982065768,1.2707664953124789
VNM,-1.1175693214661198,-1.794283584529565
VUT,-0.026841484074219435,-0.3917256912548659
WLF,-0.0014146033051923872,-0.41094838933762373
WSM,-0.02450245923458217,-0.1911482878834293
YEM,-0.04018804521740867,-0.4289773588230171
ZAF,4.239358569122198,2.8372543033394493
