Contribute,coef,t-value
EST,-0.05055611116539911,-0.19534082073223774
FIN,8.467112157558617,3.485200925389037
FJI,0.09975451636181588,1.2525332884652942
FLK,0.07163508473189481,0.9880214231471041
FRA,12.40321814343933,5.925071818064215
FRO,-0.0572940616295196,-1.091089491670704
GAB,0.05283457669989923,0.5977528409977707
GBR,15.000224481955382,6.611545942727653
GEO,0.9953422161015617,1.396265402090945
GGY,-0.22634842352691092,-1.569552455391808
GHA,0.2988462373167195,1.4880262052403475
GIB,0.15154568438964602,0.42427792582707236
GIN,0.023305388571412,0.7561145344330251
GLP,0.018683595517146104,1.342161275422511
GMB,-0.20410792256822524,-1.6176940784178386
GNQ,-0.06673769655387309,-0.4250204364689517
GRC,2.9565132449811125,2.9868387173387903
GRD,0.050360375982317934,0.981063553104573
GRL,0.01726177611123287,0.9842175717265691
GTM,0.3299345278295615,1.602569207313694
GUM,0.22768219536038886,1.3962647929267213
GUY,-0.02505219575397323,-0.34399927406905134
HND,0.16246147893083027,1.789155308813218
HRV,1.8608722692921118,2.1445104880364494
HTI,-0.029382790335190312,-0.9709252344792823
IDN,3.1742061397637924,2.791088071519559
IMN,-0.30510229191805305,-1.7820888428230444
IND,16.583413617743535,4.1514647987406725
IRL,1.6799027500411448,1.0200294976147906
IRN,0.8256212327268129,2.5096505581990787
IRQ,0.4738875151995685,1.4218799196046688
ISL,2.8729929535439758,2.39324743723641
ISR,5.881411969222089,3.8583066059425133
ITA,6.524866372801558,3.4480616884047306
JAM,-0.022470561818701617,-0.14074146268115656
JEY,-0.48512957554679464,-1.9574936061813155
JOR,0.9261058072407633,1.7074555649482301
JPN,4.559844518043894,2.4975691492546694
KEN,0.3654263167819856,0.7968835205456115
KHM,0.3303778360939023,1.1093076298805697
KIR,-0.00987960937986621,-0.25704771085989925
KNA,-0.2559619641374558,-1.0641059297911832
KOR,1.6134804108711125,0.985720898114853
KWT,0.3445040636476011,1.2236783982171682
LBN,0.25102075190701123,0.8233751040887115
LBR,0.05846912867851682,0.785325377934515
LBY,0.11333114836027625,0.34634171244621337
LCA,0.14903496754033232,1.8062996997331937
LKA,0.2555364223298077,1.0253464465319877
LTU,0.14309217236214586,0.4872388322574085
LVA,0.8544724192010027,1.5872439902198
MAR,0.5768347157139756,1.1530153117923139
MCO,0.8277236797817998,1.1939002619906045
MDG,-0.24769581614188485,-0.7439635651088674
MDV,-0.05889212532778588,-1.406854763204051
MEX,2.081094380658261,1.5970523123275093
MHL,0.019909112951391267,0.3870234436728885
MLT,-0.2560509857160742,-0.3831071474096779
MMR,0.13515556723714844,1.7515817790985402
MNE,-0.07814578325450905,-1.3587793109103556
MNP,0.04241686710429404,0.5720985521831625
MOZ,0.020714274045421806,0.23848136165396677
MRT,-0.011997060612671383,-0.4754952451217557
MSR,0.012016271898604308,0.9801017836705823
MUS,0.3097638514624959,0.5979927589465797
MYS,5.071141500375588,3.4356517825092885
NAM,-0.3450647855490363,-0.8969241161836228
NCL,0.09222409448185338,0.722300870000286
NFK,0.04506961474473484,0.9875620212138077
NGA,0.3402604187171447,1.8316020741921482
NIC,-0.14518022985731194,-0.8402724675435407
NIU,0.0929647212175071,1.257469570770225
NLD,15.13669514501605,5.550055557868493
NOR,3.191374318020895,2.9433052402890625
NZL,4.97315148734348,3.159150710159074
OMN,-0.18378140191396095,-0.6021038065109309
PAK,0.7366391423309218,1.6616785963132243
PAN,6.045485788287379,2.629976370537684
PER,0.13436380453375346,0.3431080230236336
PHL,2.5673845637218715,2.2707517540979607
PNG,0.06661959229935223,1.4247718631520376
POL,2.8113260815361696,2.2258789419127734
PRI,0.20295748670917801,0.3993998135347509
PRK,-0.12607957320870503,-0.4561366530146207
PRT,2.7211997428343904,2.266569433247709
PYF,-0.05851135527063183,-0.48629999913286304
QAT,-0.009632701563742433,-0.03470155866986933
REU,0.014997966422174026,0.09329605483275216
ROU,2.3033946464778547,2.304576683597361
RUS,6.770148991577564,3.520919575811754
SAU,-2.042262496033393,-2.0417619956712745
SDN,-0.26619173213474817,-0.48587388167261164
SEN,0.047884552137923184,0.46816447404528855
SGP,3.947732944163256,2.0928313234310263
SLE,-0.46159169168983455,-0.9066447238485035
SLV,-0.06327942293523205,-0.45155215396869436
SOM,-0.07035222045097765,-0.7146364692215801
SUR,0.09552992691586361,1.106194859951677
SVN,1.0904371086439055,1.6303906159525645
SWE,6.746899648937396,3.1187939569636964
SXM,-0.008478050329461405,-0.97694550320315
SYC,0.8793154369325267,2.381919647264976
SYR,0.4316636931036211,2.0943097655664857
TCA,0.1032085039808374,0.3041889993093228
TGO,0.058689541345814555,0.7974400840196784
THA,2.211952232739472,1.935128166543682
TON,0.052548130493722,1.189346761668727
TTO,0.5416177371556575,1.4332242959886967
TUN,0.620263662445789,1.443406112267731
TUR,1.0977932842394185,1.2878674223079039
TUV,-0.02494709683425234,-0.9881999164911287
TZA,0.1772691684217371,1.447668560573899
UKR,3.458672041900749,2.5660055534267827
URY,1.8222247707077448,3.2896632041282805
USA,16.551424180206713,6.856026641101632
VCT,0.19408352347458963,1.3546283778781054
VEN,2.306283028708789,2.5053392835483344
VGB,13.662575983188528,4.155254372603206
VIR,0.8092474405860094,1.8932155856288186
VNM,0.4179760498986365,1.1193207129534075
VUT,0.030669834790878963,0.27294633934666396
WSM,-0.02858662796609672,-0.22160676410466568
YEM,0.011298165430638215,0.38514702721805516
ZAF,3.644985968449571,2.4927770344702878
