Acquisition,coef,t-value
LTU,1.8418399827562582,2.363727629943117
LVA,7.555892177852439,2.561398885015187
MAR,2.450797417031728,2.431416566156014
MCO,3.699316607460845,3.0767377992087597
MDG,0.19728883101457828,0.8181768420394651
MEX,10.467931917502762,3.2771280530802227
MHL,0.4681754985272195,1.7286669866134083
MLT,2.274831210794928,2.2510388280735243
MMR,0.14721750546778492,1.833988112088165
MNE,-0.29747762758155805,-1.1168578592372254
MNP,0.21219113744851048,1.5265604048216779
MOZ,-0.04323458608571672,-0.9887152822454849
MRT,-0.0074050576815544175,-0.08398225974133182
MSR,0.019724647130545895,0.9808024287653414
MUS,2.6512158671094173,2.1509197453075277
MYS,8.661919207842034,3.1989573058871748
NAM,0.32037186203274415,1.2844813794659158
NCL,-0.12918666233784754,-1.0802000347924456
NFK,0.225477847697308,1.6213707958247794
NGA,0.17554651992185247,0.7944868417079924
NIC,0.05501887923387425,0.45754076894113926
NIU,0.22893111937788677,1.6207636152036071
NLD,17.0778779770944,4.131319660118254
NOR,11.299610553651446,3.6281421665673346
NZL,13.737077241684881,3.784606766067344
OMN,0.19350511300950451,1.2797848950123243
PAK,0.357915769140805,1.3229308792658838
PAN,7.68963440734178,2.744038732235043
PER,1.4438885637453933,1.7703255938891342
PHL,8.117910690613623,3.0274810333510342
PNG,0.02856284296803721,0.2517898303899443
POL,11.708131851997178,3.5996252464904033
PRI,1.6189660539062598,1.655147571113677
PRK,0.9972846962032343,1.667522049837863
PRT,11.0333855363571,3.6009966318787257
PYF,0.2521664595446089,1.5168477764356865
QAT,0.5338509137443451,1.0804381283242814
REU,0.7279306834284118,1.6735017239810543
ROU,6.298400103172279,2.730622328468725
RUS,11.955410823991253,3.6005871754506584
SAU,3.783021700191176,2.5440380236094198
SDN,1.5437214283212957,1.8783529264507552
SEN,0.6732511604765266,1.839824787147633
SGP,16.09325724918298,3.6505347060562894
SLE,0.9190167039667059,1.9954304665160272
SLV,0.5711817343957516,1.6080667661774088
SOM,0.0655369409506829,0.9879370946689312
SUR,-0.018795553049050978,-0.6738285113140502
SVN,9.893614083492395,3.209691489848156
SWE,12.302586894229309,3.612468209771053
SYC,2.4223676168297206,2.107202949071856
SYR,1.7933367358248136,2.057822887373514
TCA,0.464403693175238,1.1989823206456127
TGO,-0.16375155040982975,-1.857581481429096
THA,6.298622882392379,2.7540163144652188
TTO,1.9817205710562125,2.124794596559255
TUN,2.4168069703622392,2.2685111599303034
TUR,13.185457557337125,3.5304940898106514
TZA,0.10978670102790372,1.2564528383525968
UKR,7.565344263075642,3.0170250857716003
URY,4.819988293145785,2.5020225245277907
USA,16.759438103605703,4.406966753486149
VCT,0.4889191678629297,1.7259282037786154
VEN,3.1595283247184005,2.4997615677748573
VGB,15.372278883834847,3.156507273243502
VIR,1.4789418075312502,1.9447322241895963
VNM,2.3295740660356614,2.1824897644081687
VUT,-0.41290139728633907,-1.2024507701518303
WSM,0.44271324433887066,1.717143745161513
YEM,0.04881192458939408,1.570372346692741
ZAF,18.382476848616673,3.7962569836144335
